item_sku_id,newyear,springfestival,tombsweepingfestival,labourday,dragonboatfestival,midautumnfestival,nationalday,h1111mark,h618mark,h1212mark,day_of_week,free_gift_flag,ghost_offer_flag,dq_and_jq_pay_flag,jq_pay_flag,dq_pay_flag,full_minus_offer_flag,suit_offer_flag,sku_offer_flag,non_promo_flag,sale_qtty,after_prefr_amount,before_prefr_amount,synthetic_before_prefr_amount,participation_rate_full_minus_and_suit_offer,participation_rate_dq_and_jq_pay,sku_offer_discount_rate,full_minus_offer_discount_rate,suit_offer_discount_rate,ghost_offer_discount_rate,dq_and_jq_pay_discount_rate,jq_pay_discount_rate,dq_pay_discount_rate,free_gift_discount_rate,out_of_stock_flag,week_of_year_fourier_sin_1,week_of_year_fourier_cos_1,week_of_year_fourier_sin_2,week_of_year_fourier_cos_2,week_of_year_fourier_sin_3,week_of_year_fourier_cos_3,day_of_week_fourier_sin_1,day_of_week_fourier_cos_1,day_of_week_fourier_sin_2,day_of_week_fourier_cos_2,day_of_week_fourier_sin_3,day_of_week_fourier_cos_3,sku_status_cd,dt
2138027,0,0,0,0,0,0,0,0,0,0,7,0,0,0,FALSE,FALSE,1,0,0,0,22,529,1078,638,0.727272727,0,0,0.234913793,0,0,0,0,0,0,0,0.348201635,0.937419661,0.652822118,0.757511242,0.875734942,0.482792203,4.14E-13,1,8.27E-13,1,1.24E-12,1,1,2016-01-24
2138027,0,0,0,0,0,0,0,0,0,0,1,0,0,1,FALSE,TRUE,1,0,0,0,55,1295,2695,1595,0.709090909,0.018181818,0,0.265251989,0,0,0.068965517,0,0.068965517,0,0,0.456629237,0.889657091,0.812486878,0.582979479,0.989040187,0.147646564,0.781831482,0.623489802,0.974927912,-0.222520934,0.433883739,-0.900968868,1,2016-01-25
2138027,0,0,0,0,0,0,0,0,0,0,2,0,0,1,FALSE,TRUE,1,0,0,0,10,253,490,290,0.5,0.1,0,0.255172414,0,0,0.103448276,0,0.103448276,0,0,0.456629237,0.889657091,0.812486878,0.582979479,0.989040187,0.147646564,0.974927912,-0.222520934,-0.433883739,-0.900968868,-0.781831482,0.623489802,1,2016-01-26
2138027,0,0,0,0,0,0,0,0,0,0,3,0,0,1,FALSE,TRUE,1,0,0,0,42,986,2058,1218,0.738095238,0.238095238,0,0.258064516,0,0,0.093103448,0,0.093103448,0,0,0.456629237,0.889657091,0.812486878,0.582979479,0.989040187,0.147646564,0.433883739,-0.900968868,-0.781831482,0.623489802,0.974927912,-0.222520934,1,2016-01-27
2138027,0,0,0,0,0,0,0,0,0,0,4,0,0,1,FALSE,TRUE,1,0,0,0,49,1181,2401,1421,0.632653061,0.06122449,0,0.266963293,0,0,0.114942529,0,0.114942529,0,0,0.456629237,0.889657091,0.812486878,0.582979479,0.989040187,0.147646564,-0.433883739,-0.900968868,0.781831482,0.623489802,-0.974927912,-0.222520934,1,2016-01-28
2138027,0,0,0,0,0,0,0,0,0,0,5,0,0,1,FALSE,TRUE,1,0,0,0,37,896,1813,1073,0.648648649,0.081081081,0,0.254310345,0,0,0.103448276,0,0.103448276,0,0,0.456629237,0.889657091,0.812486878,0.582979479,0.989040187,0.147646564,-0.974927912,-0.222520934,0.433883739,-0.900968868,0.781831482,0.623489802,1,2016-01-29
2138027,0,0,0,0,0,0,0,0,0,0,6,0,0,1,FALSE,TRUE,1,0,0,0,23,542,1127,667,0.739130435,0.173913043,0,0.253549696,0,0,0.068965517,0,0.068965517,0,0,0.456629237,0.889657091,0.812486878,0.582979479,0.989040187,0.147646564,-0.781831482,0.623489802,-0.974927912,-0.222520934,-0.433883739,-0.900968868,1,2016-01-30
2138027,0,0,0,0,0,0,0,0,0,0,7,0,0,1,FALSE,TRUE,1,0,0,0,18,453,882,522,0.5,0.333333333,0,0.264367816,0,0,0.074712644,0,0.074712644,0,0,0.456629237,0.889657091,0.812486878,0.582979479,0.989040187,0.147646564,4.14E-13,1,8.27E-13,1,1.24E-12,1,1,2016-01-31
2138027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0,0,1,16,453,784,464,0,0,0,0,0,0,0,0,0,0,0,0.558646766,0.829405685,0.926689607,0.375827582,0.978556492,-0.205978619,0.781831482,0.623489802,0.974927912,-0.222520934,0.433883739,-0.900968868,1,2016-02-01
2138027,0,0,0,0,0,0,0,0,0,0,2,0,0,1,FALSE,TRUE,0,0,0,1,22,622,1078,638,0,0.090909091,0,0,0,0,0.068965517,0,0.068965517,0,0,0.558646766,0.829405685,0.926689607,0.375827582,0.978556492,-0.205978619,0.974927912,-0.222520934,-0.433883739,-0.900968868,-0.781831482,0.623489802,1,2016-02-02
2138027,0,0,0,0,0,0,0,0,0,0,3,0,0,1,FALSE,TRUE,0,0,0,1,33,935,1617,957,0,0.090909091,0,0,0,0,0.057471264,0,0.057471264,0,0,0.558646766,0.829405685,0.926689607,0.375827582,0.978556492,-0.205978619,0.433883739,-0.900968868,-0.781831482,0.623489802,0.974927912,-0.222520934,1,2016-02-03
2138027,0,0,0,0,0,0,0,0,0,0,4,0,0,0,FALSE,FALSE,0,0,0,1,36,1011,1764,1044,0,0,0,0,0,0,0,0,0,0,0,0.558646766,0.829405685,0.926689607,0.375827582,0.978556492,-0.205978619,-0.433883739,-0.900968868,0.781831482,0.623489802,-0.974927912,-0.222520934,1,2016-02-04
2138027,0,0,0,0,0,0,0,0,0,0,5,0,0,1,FALSE,TRUE,0,0,0,1,20,565,980,580,0,0.2,0,0,0,0,0.103448276,0,0.103448276,0,0,0.558646766,0.829405685,0.926689607,0.375827582,0.978556492,-0.205978619,-0.974927912,-0.222520934,0.433883739,-0.900968868,0.781831482,0.623489802,1,2016-02-05
2138027,0,0,0,0,0,0,0,0,0,0,6,0,0,1,FALSE,TRUE,0,0,0,1,9,255,441,261,0,0.222222222,0,0,0,0,0.051724138,0,0.051724138,0,0,0.558646766,0.829405685,0.926689607,0.375827582,0.978556492,-0.205978619,-0.781831482,0.623489802,-0.974927912,-0.222520934,-0.433883739,-0.900968868,1,2016-02-06
2138027,0,1,0,0,0,0,0,0,0,0,7,0,0,0,FALSE,FALSE,0,0,0,1,3,84,147,87,0,0,0,0,0,0,0,0,0,0,0,0.558646766,0.829405685,0.926689607,0.375827582,0.978556492,-0.205978619,4.14E-13,1,8.27E-13,1,1.24E-12,1,1,2016-02-07
2138027,0,1,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0,0,1,7,196,343,203,0,0,0,0,0,0,0,0,0,0,0,0.652822118,0.757511242,0.989040187,0.147646564,0.845596004,-0.533823378,0.781831482,0.623489802,0.974927912,-0.222520934,0.433883739,-0.900968868,1,2016-02-08
2138027,0,1,0,0,0,0,0,0,0,0,2,0,0,0,FALSE,FALSE,0,0,0,1,7,199,343,203,0,0,0,0,0,0,0,0,0,0,0,0.652822118,0.757511242,0.989040187,0.147646564,0.845596004,-0.533823378,0.974927912,-0.222520934,-0.433883739,-0.900968868,-0.781831482,0.623489802,1,2016-02-09
2138027,0,1,0,0,0,0,0,0,0,0,3,0,0,1,FALSE,TRUE,0,0,0,1,3,84,147,87,0,0.666666667,0,0,0,0,0.086206897,0,0.086206897,0,0,0.652822118,0.757511242,0.989040187,0.147646564,0.845596004,-0.533823378,0.433883739,-0.900968868,-0.781831482,0.623489802,0.974927912,-0.222520934,1,2016-02-10
2138027,0,1,0,0,0,0,0,0,0,0,4,0,0,0,FALSE,FALSE,0,0,0,1,5,142,245,145,0,0,0,0,0,0,0,0,0,0,0,0.652822118,0.757511242,0.989040187,0.147646564,0.845596004,-0.533823378,-0.433883739,-0.900968868,0.781831482,0.623489802,-0.974927912,-0.222520934,1,2016-02-11
2138027,0,1,0,0,0,0,0,0,0,0,5,0,0,0,FALSE,FALSE,0,0,0,1,2,57,98,58,0,0,0,0,0,0,0,0,0,0,0,0.652822118,0.757511242,0.989040187,0.147646564,0.845596004,-0.533823378,-0.974927912,-0.222520934,0.433883739,-0.900968868,0.781831482,0.623489802,1,2016-02-12
2138027,0,1,0,0,0,0,0,0,0,0,6,0,0,0,FALSE,FALSE,0,0,0,1,7,198,343,203,0,0,0,0,0,0,0,0,0,0,0,0.652822118,0.757511242,0.989040187,0.147646564,0.845596004,-0.533823378,-0.781831482,0.623489802,-0.974927912,-0.222520934,-0.433883739,-0.900968868,1,2016-02-13
2138027,0,0,0,0,0,0,0,0,0,0,7,0,0,0,FALSE,FALSE,0,0,0,1,20,565,980,580,0,0,0,0,0,0,0,0,0,0,0,0.652822118,0.757511242,0.989040187,0.147646564,0.845596004,-0.533823378,4.14E-13,1,8.27E-13,1,1.24E-12,1,1,2016-02-14
2138027,0,0,0,0,0,0,0,0,0,0,1,0,0,1,TRUE,TRUE,0,0,0,1,9,256,441,261,0,0.222222222,0,0,0,0,0.206896552,0.344827586,0.068965517,0,0,0.737833279,0.674983002,0.996049843,-0.088795895,0.606800146,-0.794854441,0.781831482,0.623489802,0.974927912,-0.222520934,0.433883739,-0.900968868,1,2016-02-15
2138027,0,0,0,0,0,0,0,0,0,0,2,0,0,0,FALSE,FALSE,0,0,0,1,12,338,588,348,0,0,0,0,0,0,0,0,0,0,0,0.737833279,0.674983002,0.996049843,-0.088795895,0.606800146,-0.794854441,0.974927912,-0.222520934,-0.433883739,-0.900968868,-0.781831482,0.623489802,1,2016-02-16
2138027,0,0,0,0,0,0,0,0,0,0,3,0,0,0,FALSE,FALSE,0,0,0,1,22,626,1078,638,0,0,0,0,0,0,0,0,0,0,0,0.737833279,0.674983002,0.996049843,-0.088795895,0.606800146,-0.794854441,0.433883739,-0.900968868,-0.781831482,0.623489802,0.974927912,-0.222520934,1,2016-02-17
2138027,0,0,0,0,0,0,0,0,0,0,4,0,0,0,FALSE,FALSE,0,0,0,1,11,312,539,319,0,0,0,0,0,0,0,0,0,0,0,0.737833279,0.674983002,0.996049843,-0.088795895,0.606800146,-0.794854441,-0.433883739,-0.900968868,0.781831482,0.623489802,-0.974927912,-0.222520934,1,2016-02-18
2138027,0,0,0,0,0,0,0,0,0,0,5,0,0,0,FALSE,FALSE,0,0,0,1,23,651,1127,667,0,0,0,0,0,0,0,0,0,0,0,0.737833279,0.674983002,0.996049843,-0.088795895,0.606800146,-0.794854441,-0.974927912,-0.222520934,0.433883739,-0.900968868,0.781831482,0.623489802,1,2016-02-19
2138027,0,0,0,0,0,0,0,0,0,0,6,0,0,1,FALSE,TRUE,0,0,0,1,17,478,833,493,0,0.117647059,0,0,0,0,0.068965517,0,0.068965517,0,0,0.737833279,0.674983002,0.996049843,-0.088795895,0.606800146,-0.794854441,-0.781831482,0.623489802,-0.974927912,-0.222520934,-0.433883739,-0.900968868,1,2016-02-20
2138027,0,0,0,0,0,0,0,0,0,0,7,0,0,1,FALSE,TRUE,1,0,0,0,121,2319,5929,3509,0.884297521,0.115702479,0,0.379310345,0,0,0.056650246,0,0.056650246,0,0,0.737833279,0.674983002,0.996049843,-0.088795895,0.606800146,-0.794854441,4.14E-13,1,8.27E-13,1,1.24E-12,1,1,2016-02-21
2138027,0,0,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,FALSE,1,0,0,0,86,1646,4214,2494,0.895348837,0,0,0.378414689,0,0,0,0,0,0,0,0.812486878,0.582979479,0.947326354,-0.320269854,0.292056771,-0.956400984,0.781831482,0.623489802,0.974927912,-0.222520934,0.433883739,-0.900968868,1,2016-02-22
2138027,0,0,0,0,0,0,0,0,0,0,2,0,0,0,FALSE,FALSE,0,0,0,0,15,435,735,435,0,0,0,0,0,0,0,0,0,0,0,0.812486878,0.582979479,0.947326354,-0.320269854,0.292056771,-0.956400984,0.974927912,-0.222520934,-0.433883739,-0.900968868,-0.781831482,0.623489802,1,2016-02-23
2138027,0,0,0,0,0,0,0,0,0,0,3,0,0,0,FALSE,FALSE,0,0,0,0,12,348,588,348,0,0,0,0,0,0,0,0,0,0,0,0.812486878,0.582979479,0.947326354,-0.320269854,0.292056771,-0.956400984,0.433883739,-0.900968868,-0.781831482,0.623489802,0.974927912,-0.222520934,1,2016-02-24
